prestg10,educ,race,mawrkgrw,unrelat,colath,popular,divlaw,letdie1,helpfulv
31.0,12.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,not allowed,,,,
64.0,16.0,white,,0.0,"yes, allowed to teach",,,,
51.0,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
36.0,12.0,white,,0.0,not allowed,,,,
53.0,16.0,white,,0.0,"yes, allowed to teach",,,,
47.0,12.0,white,,0.0,not allowed,,,,
34.0,6.0,white,,,not allowed,,,,
60.0,8.0,white,,0.0,not allowed,,,,
28.0,12.0,white,,,"yes, allowed to teach",,,,
27.0,10.0,white,,,not allowed,,,,
39.0,11.0,white,,0.0,not allowed,,,,
32.0,8.0,white,,0.0,"yes, allowed to teach",,,,
,8.0,white,,0.0,not allowed,,,,
,13.0,white,,0.0,not allowed,,,,
37.0,12.0,white,,0.0,not allowed,,,,
,13.0,white,,0.0,"yes, allowed to teach",,,,
37.0,13.0,white,,0.0,"yes, allowed to teach",,,,
45.0,12.0,white,,0.0,not allowed,,,,
45.0,14.0,white,,0.0,not allowed,,,,
,16.0,white,,0.0,"yes, allowed to teach",,,,
46.0,14.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,"yes, allowed to teach",,,,
42.0,12.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,not allowed,,,,
35.0,10.0,white,,0.0,not allowed,,,,
28.0,13.0,white,,0.0,not allowed,,,,
37.0,14.0,white,,0.0,not allowed,,,,
47.0,14.0,white,,0.0,"yes, allowed to teach",,,,
36.0,12.0,white,,0.0,"yes, allowed to teach",,,,
